GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
710.511222493062,1.60412916927926,29.235,,56.3279800415039,11.3199701309204,74.4,286.0,3.79,68.8,16.6190180757235,44.2,2005,India
624.108803038152,1.67281087022876,28.903,,53.6583099365234,11.6037998199463,77.7,301.0,3.96,64.4,14.4825005007376,44.9,2004,India
543.845053399477,1.72426903226703,28.572,106.22322845459,51.9028091430664,11.2758102416992,81.1,315.0,4.01,65.4,13.4694247561217,45.6,2003,India
468.845513103988,1.77676787418134,28.244,98.0657272338867,49.2973213195801,10.7845497131348,84.5,329.0,4.24,62.3,12.0551611624532,45.8,2002,India
449.910313665362,1.80844642123748,27.918,98.9954681396484,48.0781288146973,10.3922300338745,88.1,371.0,4.26,62.0,13.2070435298578,47.1,2001,India
442.03533042158,1.82218400218023,27.667,93.3239517211914,44.705810546875,9.45524024963379,91.7,384.0,4.03,60.3,13.5909480276924,46.9,2000,India
440.962065164669,1.8493332514954,27.453,91.824577331543,42.9011917114258,,95.3,,,60.1,15.2580757461935,47.1,1999,India
412.509354123275,1.88755786468172,27.24,91.3076171875,,,98.9,,,56.1821327209473,16.7011082856411,48.0,1998,India
414.898679748919,1.91926259528322,27.028,92.8254776000977,45.7969207763672,6.45571994781494,102.5,,,54.5948638916016,16.015130807865,47.9,1997,India
399.577312178982,1.95143550144522,26.817,93.1708984375,45.2715797424316,6.16305017471313,106.0,,,53.0035209655762,15.7672939365417,49.1,1996,India
373.628235651141,1.99187122902055,26.607,93.6837615966797,45.2833518981934,5.42952013015747,109.5,,,51.4087753295898,17.2605391115517,49.5,1995,India
346.226610189499,2.02085601987654,26.399,94.3418807983398,45.4297981262207,,112.8,,,49.8113098144531,21.21909967171,50.5,1994,India
301.50079120851,2.04783736093956,26.191,93.3966522216797,45.0090103149414,,116.1,,,50.9,19.5588133409081,51.5,1993,India
317.558738700794,2.07434424472354,25.984,91.7919235229492,,,119.5,,,,20.7526521363897,51.5,1992,India
303.850437957407,2.10189105362679,25.778,91.3023223876953,,5.93055009841919,122.9,,,,22.8074022101386,52.0,1991,India
368.749759408129,2.14114053890499,25.547,91.6484298706055,,5.85195016860962,126.5,,,,24.4892939617124,53.0,1990,India
347.462029998068,2.16921748136657,25.305,92.2303009033203,36.6050415039062,5.66695976257324,130.2,,,,,,1989,India
355.738409768732,2.184281790986,25.063,89.069221496582,36.3846092224121,5.46094989776611,134.1,,,,,,1988,India
342.071923724964,2.21094603012958,24.823,87.5405502319336,36.3184089660645,6.25483989715576,138.2,,,,,,1987,India
312.059843942513,2.23527124737904,24.585,89.602897644043,36.7133598327637,5.93035984039307,142.2,,,,,,1986,India
297.999248705447,2.24836240132238,24.348,87.4147262573242,,5.77342987060547,146.2,,,,,,1985,India
