GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
251.811956961329,1.6036050865576,24.259,134.326110839844,35.1279983520508,3.04913997650146,53.9,,,,,,1987,China
281.928120911563,1.48739892914903,23.559,131.474822998047,32.6456489562988,2.77602005004883,53.9,,,,,,1986,China
294.45884850496,1.36169911825369,22.874,125.628341674805,31.3204708099365,2.19178009033203,54.2,,,,,,1985,China
250.713969046988,1.31206876113779,22.203,118.229042053223,29.8780403137207,1.90454995632172,54.9,,,,,,1984,China
225.431928890812,1.4449496950092,21.545,115.250068664551,30.1066207885742,,56.0,,,,,,1983,China
203.334919503464,1.47267476016581,20.902,111.846168518066,32.5759811401367,,57.6,,,,,,1982,China
197.071474499102,1.28095234429252,20.118,110.818008422852,36.623649597168,2.03558993339539,59.8,,,,,,1981,China
194.804722186836,1.25422105193987,19.358,108.862922668457,40.1661186218262,1.27926003932953,62.6,,,,,,1980,China
183.983152215978,1.33392795351687,18.617,109.943023681641,47.4205589294434,1.01013994216919,65.9,,,,,,1979,China
156.396388520044,1.33818233834084,17.9,110.883583068848,52.994010925293,0.693790018558502,69.8,,,,,,1978,China
185.420537363904,1.36277947570678,17.52,115.572227478027,56.954418182373,0.625360012054443,74.4,,,,,,1977,China
165.404262395736,1.54733797287665,17.46,117.58203125,57.9116706848145,0.553709983825684,79.4,,,,,,1976,China
178.339614096146,1.76639178162482,17.4,112.194068908691,57.2828216552734,0.450859993696213,84.7,,,,,,1975,China
160.147687922555,2.06595501335632,17.292,106.179130554199,57.9808387756348,0.326719999313354,90.2,,,,,,1974,China
157.089110889702,2.28339536396383,17.184,107.876022338867,53.8687591552734,0.204099997878075,95.7,,,,,,1973,China
131.885558530844,2.45735692952286,17.184,106.83113861084,43.9938087463379,,101.3,,,,,,1972,China
118.654144002222,2.74691554961857,17.292,111.981750488281,34.4675598144531,,106.9,,,,,,1971,China
113.162577847967,2.76167556645304,17.4,120.340057373047,25.7861003875732,0.127250000834465,112.6,,,,,,1970,China
100.129537206454,2.74000210569558,17.528,,,,118.6,,,,,,1969,China
91.4723838962347,2.61090262648529,17.656,,,,,,,,,,1968,China
96.5891788251155,2.5706976197388,17.785,,,,,,,,,,1967,China
104.32418478637,2.78733183821693,17.915,,,,,,,,,,1966,China
98.4864176995115,2.38136810251949,18.086,,,,,,,,,,1965,China
