GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
13817.0458984375,-0.285217600763343,75.331,,,,,,,,,,2023,Russia
15445.2421875,-0.352843110363082,75.126,101.949310302734,95.6779479980469,56.617000579834,4.8,,,100.0,,,2022,Russia
12521.5224609375,-0.343724409889771,74.934,103.845191955566,94.6697311401367,57.1260414123535,5.1,,7.39,100.0,,3.5,2021,Russia
10108.3271484375,-0.143202031827637,74.754,104.977188110352,94.5006713867188,59.0602111816406,5.4,14.0,7.57,99.9,,3.7,2020,Russia
11447.701171875,0.037947213753429,74.587,104.132827758789,102.587448120117,83.3284912109375,5.8,7.0,5.65,99.8,,3.2,2019,Russia
11211.8876953125,0.0721356165400605,74.433,104.423446655273,102.048286437988,83.662712097168,6.3,9.0,5.36,100.0,,3.2,2018,Russia
10658.9130859375,0.191382528772924,74.292,102.147171020508,100.676391601562,82.7727890014648,6.9,9.0,5.36,100.0,,3.2,2017,Russia
8663.158203125,0.258751057379474,74.164,99.7135162353516,98.7827911376953,84.9138870239258,7.5,8.0,5.29,99.4,,3.4,2016,Russia
9277.7138671875,0.279352077762368,74.05,99.5796813964844,98.9897766113281,85.2701416015625,8.3,10.0,5.3,95.5,15.8557951545716,3.2,2015,Russia
14055.47265625,0.299667432459938,73.95,97.4634399414062,96.6664276123047,83.7739715576172,8.9,10.0,5.18,100.0,16.5682511980707,3.3,2014,Russia
15941.4482421875,0.297503474179596,73.863,97.1472702026367,96.7362365722656,82.0453033447266,9.5,11.0,5.08,100.0,17.1746302202462,3.6,2013,Russia
15401.8515625,0.251575708072649,73.791,97.3611526489258,95.6097030639648,79.9922790527344,9.9,12.0,4.94,100.0,15.5637311058596,3.2,2012,Russia
14305.33203125,0.118045544446964,73.732,95.9564514160156,94.2826309204102,79.728630065918,10.2,14.0,4.79,99.2,15.8030239287522,3.2,2011,Russia
10674.990234375,0.0448964884428055,73.687,,,,10.4,17.0,4.97,99.3,16.1205888143799,3.3,2010,Russia
8562.82421875,0.030107060167659,73.642,95.3393402099609,89.550537109375,77.5504302978516,10.7,19.0,5.64,98.4,17.6440464827356,3.6,2009,Russia
11635.2841796875,-0.0439492591634852,73.598,95.117790222168,86.6701202392578,77.2533264160156,11.3,19.0,4.9,98.3,15.9141050296072,3.3,2008,Russia
9101.2392578125,-0.17108203294568,73.553,95.9321517944336,86.1754837036133,75.8775329589844,12.0,22.0,4.75,98.2,17.5206409321501,3.7,2007,Russia
6920.19970703125,-0.327445270108383,73.508,96.3237915039062,86.1190490722656,73.1486434936523,12.8,27.0,4.77,98.1,17.4938246140069,3.5,2006,Russia
5323.455078125,-0.381452794741516,73.463,96.5188827514648,86.3506164550781,71.9512329101562,13.9,31.0,4.77,98.0,18.2025297558032,3.6,2005,Russia
4102.36474609375,-0.402681471328549,73.418,,87.7930679321289,69.5147933959961,15.0,35.0,4.76,98.0,18.9562374651174,3.5,2004,Russia
2975.123046875,-0.453780668020263,73.373,126.305717468262,94.2953186035156,68.6967468261719,16.1,42.0,5.16,97.9,17.0766945778758,3.3,2003,Russia
2377.52954101563,-0.460024258081391,73.341,121.132369995117,,64.7411575317383,17.3,48.0,5.52,97.9,18.2608578316721,3.5,2002,Russia
2100.3525390625,-0.424090524785415,73.346,115.199089050293,,60.1799583435059,18.4,44.0,5.24,97.9,19.5670238257211,3.6,2001,Russia
1771.59411621094,-0.420614990249978,73.35,111.35578918457,,55.1730194091797,19.4,52.0,5.02,97.8,18.729605644473,3.5,2000,Russia
1330.75720214844,-0.309278191504336,73.354,111.776466369629,90.8119430541992,51.5171318054199,20.2,,,100.0,18.9924374251047,3.8,1999,Russia
1834.86181640625,-0.165486143348056,73.359,110.348968505859,90.2693023681641,47.6773109436035,20.8,,,100.0,19.1911293904906,3.6,1998,Russia
2737.57202148438,-0.165341653753189,73.363,108.951812744141,89.5388870239258,45.5055999755859,21.3,,,100.0,18.8005146584027,3.8,1997,Russia
2643.92919921875,-0.145451546598357,73.367,106.733428955078,89.8506927490234,43.8522109985352,21.7,,,100.0,18.1270578113514,3.7,1996,Russia
2665.77978515625,-0.0216487632128753,73.372,105.630241394043,89.3551330566406,42.7496910095215,22.0,,,100.0,20.4266227099063,3.9,1995,Russia
2662.10400390625,-0.0342679070319955,73.376,105.08731842041,89.2141036987305,43.8801689147949,22.1,,,100.0,20.0071781190813,3.9,1994,Russia
2930.67016601563,-0.0534820276606834,73.381,106.229103088379,91.0410537719727,45.8300514221191,22.0,,,100.0,18.1499044681292,4.0,1993,Russia
3098.802734375,0.0969789790408762,73.385,106.673698425293,93.2758636474609,48.8960113525391,21.7,,,100.0,17.0465565967574,4.0,1992,Russia
3490.45239257813,0.286681805330924,73.389,108.037590026855,94.8525924682617,51.0777587890625,21.6,,,100.0,15.6941403137911,3.8,1991,Russia
3494.06323242188,0.168017665366762,73.394,108.189956665039,96.6426696777344,52.920051574707,21.6,,,100.0,15.3381410374883,3.8,1990,Russia
3429.64990234375,0.586603532881112,73.398,108.421348571777,96.9025421142578,54.1047210693359,22.0,,,,,,1989,Russia
3778.01977539063,0.648303809439665,73.181,107.784812927246,98.0474700927734,55.4659881591797,22.6,,,,,,1988,Russia
,0.697384550046896,72.765,106.502197265625,97.9282302856445,56.6480598449707,23.4,,,,,,1987,Russia
