GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
2529.08012688018,1.02746498713519,40.473,,,,,,,,,,2023,Bangladesh
2687.89906307087,1.0748367431585,39.711,117.658996582031,71.8219985961914,22.8400001525879,28.8,,,99.4,,,2022,Bangladesh
2457.96446570157,1.14931847631384,38.946,115.447998046875,70.2929992675781,23.3999996185303,29.8,,2.36492991,99.0,,25.0,2021,Bangladesh
2233.76728192962,1.14420974001656,38.177,118.429237365723,69.0139999389648,22.5389995574951,31.0,123.0,2.27063942,96.2,,27.2,2020,Bangladesh
2122.03765230231,1.1131724900167,37.405,,67.2210006713867,22.8050003051758,32.2,157.0,2.25762248,92.2,,26.1,2019,Bangladesh
1963.31244102476,1.16137846270492,36.632,112.428001403809,67.4209976196289,19.7029991149902,33.6,172.0,2.31622243,86.9,,27.0,2018,Bangladesh
1815.47222007199,1.24972406577957,35.858,109.125,64.8560028076172,18.5310001373291,35.1,183.0,2.36720181,88.0,,28.1,2017,Bangladesh
1659.88817301175,1.23079535447054,35.083,,66.9229965209961,17.4020004272461,36.8,196.0,2.38938212,75.9,,30.2,2016,Bangladesh
1236.4354555046,1.19106112723824,34.308,,62.0312309265137,15.5909996032715,38.5,212.0,2.27217698,74.0,1.2268899018827,33.1,2015,Bangladesh
1108.52251321179,1.24596020808779,33.535,,,13.6529998779297,40.4,219.0,2.27915168,62.4,1.31972423672665,35.4,2014,Bangladesh
973.828617573534,1.26715729721878,32.762,,57.9589996337891,13.6510000228882,42.4,219.0,2.29574466,61.5,1.94653614457831,37.0,2013,Bangladesh
876.521652869848,1.24357124646827,31.993,,53.6534004211426,13.6680002212524,44.5,237.0,2.3537879,65.5,1.60001647378609,37.3,2012,Bangladesh
856.178832752419,1.21893869127295,31.225,,51.5029983520508,13.5719995498657,46.7,301.0,2.36418128,59.6,1.9749507394741,38.4,2011,Bangladesh
776.835743954765,1.1415513368569,30.462,99.7350006103516,51.1860008239746,,49.1,301.0,2.28807664,55.3,1.78720274577102,40.3,2010,Bangladesh
698.503078776717,0.880093475599957,29.709,97.6258010864258,49.7341003417969,10.8163499832153,51.7,338.0,2.18321705,57.1,1.12166124216586,43.1,2009,Bangladesh
630.148307727773,0.887833017097369,28.968,95.1065979003906,45.9643898010254,8.84245014190674,54.6,368.0,2.11878848,54.3,2.77631655853644,45.2,2008,Bangladesh
552.337247034842,1.05111719423699,28.237,98.1889877319336,47.9007186889648,7.86712980270386,57.7,377.0,2.17268491,46.5,2.41573939687147,47.2,2007,Bangladesh
503.374634487573,1.21058994053819,27.517,99.9751205444336,47.0837898254395,7.24171018600464,61.0,353.0,2.10646582,50.5,2.53631776776946,48.6,2006,Bangladesh
493.043250641143,1.51797511096499,26.809,99.953498840332,46.6028785705566,6.29582977294922,64.5,376.0,2.05873919,44.2,2.83207925284531,50.6,2005,Bangladesh
469.116458369252,1.66119164263389,26.114,,47.8641395568848,5.72883987426758,68.2,372.0,1.99854314,40.6,3.03447717052222,52.0,2004,Bangladesh
440.714404819588,1.74653680101613,25.429,,51.257080078125,6.19688987731934,72.1,404.0,1.96152198,40.5,3.79971590909091,52.6,2003,Bangladesh
407.96296761642,1.85802653007171,24.756,,51.418098449707,6.13536977767944,76.4,414.0,1.93417108,37.8,4.01285829091883,54.4,2002,Bangladesh
410.048540904043,1.89925268099487,24.096,,50.3141403198242,6.42439985275269,81.0,437.0,1.77201855,35.0,5.70952161913524,55.9,2001,Bangladesh
413.100185264402,1.90552404891968,23.59,,48.7191314697266,5.46036005020142,86.0,441.0,1.80504513,32.0,4.74922325787838,60.2,2000,Bangladesh
404.486143135093,1.91507429803985,23.202,,46.9789085388184,5.47931003570557,91.2,,,29.5402145385742,5.76470588235294,60.5,1999,Bangladesh
401.96518010266,1.87614402927933,22.818,,43.6955299377441,,96.8,,,26.7461929321289,6.71479583915541,60.2,1998,Bangladesh
395.318052357112,1.78774016644232,22.438,,,,102.6,,,22.4,6.06341710237814,60.0,1997,Bangladesh
387.384863171262,1.75333998432405,22.064,,,,108.6,,,21.1443862915039,6.44064842252048,62.1,1996,Bangladesh
322.087389769502,1.86669533165568,21.693,,,,114.7,,,18.3380451202393,3.44253192670738,63.8,1995,Bangladesh
292.078819525013,1.91779795618604,21.328,,,,120.9,,,17.8,8.65699100572363,69.0,1994,Bangladesh
292.425347405186,1.91082122823187,20.966,,,,127.1,,,12.7178802490234,6.60438844232023,70.5,1993,Bangladesh
284.966977564282,1.84053318300066,20.61,,,,133.4,,,9.90541934967041,8.94985383404542,71.6,1992,Bangladesh
283.382285281796,1.93654400062741,20.257,,,,139.7,,,14.29,10.1330108827086,73.1,1991,Bangladesh
294.90465244279,2.12605906093885,19.811,78.3366394042969,20.4544296264648,4.32926988601685,146.0,,,,11.4330056906363,71.7,1990,Bangladesh
274.389427801832,2.12438316860897,19.33,75.5209579467773,19.8626194000244,3.82814002037048,152.3,,,,,,1989,Bangladesh
258.830534751186,2.16426092705197,18.859,75.9248962402344,19.9463500976562,3.9222400188446,158.6,,,,,,1988,Bangladesh
241.794908533863,2.23242079826929,18.395,64.6438293457031,19.9799995422363,4.60726976394653,165.0,,,,,,1987,Bangladesh
221.569619138886,2.38145109935686,17.941,65.5274887084961,19.5953998565674,5.3514199256897,171.4,,,,,,1986,Bangladesh
