GDP per Capita,Population Growth (%),Urban Population (%),Primary School Enrollment (%),Secondary School Enrollment (%),Tertiary School Enrollment (%),Mortality Rate Under-5 (per 1000),"Maternal Mortality Ratio (per 100,000)",Health Expenditure (% of GDP),Access to Electricity (%),Electricity from Renewable Sources (%),Renewable Energy Consumption (%),Year,Country
673.382966037094,2.1893881210377,33.58,65.7692565917969,19.9118404388428,2.38838005065918,100.5,349.0,2.30006313,76.0,33.3341581096128,50.1,2003,Pakistan
599.789410758775,2.50885975954029,33.38,63.8420181274414,,,102.8,359.0,2.66229343,74.9,29.5241995138962,51.4,2002,Pakistan
610.143231600736,3.09207918437975,33.18,63.471809387207,,,105.3,373.0,2.54956865,73.9,26.1507662570758,51.5,2001,Pakistan
644.457156981743,3.07555291166784,32.982,63.4712295532227,,,108.1,387.0,2.71176577,72.8,25.2422338363967,51.0,2000,Pakistan
420.682610613286,2.8584443558606,32.783,,,,111.2,,,70.2653503417969,29.3219823654606,50.2,1999,Pakistan
427.506327495099,2.89123826209315,32.585,,,,114.4,,,70.46,34.3109983493306,51.6,1998,Pakistan
441.754917706501,2.94060702615898,32.348,,,,117.9,,,,35.4919153728582,51.9,1997,Pakistan
461.400209497922,3.04613837555745,32.092,,,,121.3,,,,35.2778012684989,52.2,1996,Pakistan
455.507973154417,2.95211131596515,31.836,,,,124.6,,,,40.7430166616922,53.1,1995,Pakistan
404.606867366467,2.90337795268012,31.582,,,,127.9,,,,42.6813556157222,54.2,1994,Pakistan
412.675398322459,2.55855603034947,31.329,,,,131.1,,,,38.3761797575327,54.1,1993,Pakistan
399.465580740566,2.62588681084768,31.077,,26.3336696624756,2.00996994972229,134.1,,,,43.2534316738373,56.0,1992,Pakistan
382.751431546522,3.23064337372364,30.826,,23.7177505493164,,137.0,,,,44.5588664913818,58.1,1991,Pakistan
346.668515520908,3.29747116559875,30.576,52.80419921875,20.7386207580566,2.92652988433838,139.7,,,,44.9260743768747,57.5,1990,Pakistan
359.72926859058,3.37181635871608,30.327,53.0443305969238,20.1443004608154,,142.4,,,,,,1989,Pakistan
356.335215384388,3.50310414413814,30.08,53.4772796630859,19.4664402008057,3.18139004707336,145.1,,,,,,1988,Pakistan
319.915391915237,3.54659790712452,29.833,53.7716598510742,19.2109909057617,2.80859994888306,147.7,,,,,,1987,Pakistan
317.02979833839,3.53730585510265,29.588,52.1590805053711,18.8718109130859,2.82945990562439,150.4,,,,,,1986,Pakistan
320.679810021232,3.26273876924285,29.344,52.1836700439453,18.7081909179688,,153.0,,,,,,1985,Pakistan
331.388765820642,3.15935942130459,29.101,50.7413215637207,17.8578701019287,,155.6,,,,,,1984,Pakistan
315.017265891048,3.63597146977849,28.859,50.5874481201172,17.0569305419922,,158.1,,,,,,1983,Pakistan
349.841762254772,4.13542839724215,28.619,48.6079406738281,16.2279796600342,,160.5,,,,,,1982,Pakistan
333.45839209696,4.42312479149621,28.38,47.9244613647461,16.0475292205811,,162.8,,,,,,1981,Pakistan
293.3918897736,4.07154578640826,28.066,47.1800193786621,15.9938802719116,2.01178002357483,165.0,,,,,,1980,Pakistan
254.347760613349,3.44063933128741,27.715,47.898380279541,15.4925498962402,2.06703996658325,167.1,,,,,,1979,Pakistan
238.155832543428,3.17633071983058,27.368,48.1648597717285,16.7520809173584,2.08587002754211,169.2,,,,,,1978,Pakistan
208.776120199417,3.11232079319945,27.023,54.5155296325684,16.7152805328369,1.95977997779846,171.4,,,,,,1977,Pakistan
187.496906570355,3.04151169440751,26.681,52.9504890441895,16.6267395019531,1.96484994888306,173.7,,,,,,1976,Pakistan
164.848095842385,2.94612675483924,26.341,51.6937599182129,16.6953392028809,1.84702003002167,176.0,,,,,,1975,Pakistan
134.532180127492,2.85762988601594,26.005,51.0938491821289,15.8375701904297,1.88038003444672,178.5,,,,,,1974,Pakistan
99.2979315283758,2.80164442306919,25.671,48.6000099182129,15.5555696487427,1.89619994163513,181.2,,,,,,1973,Pakistan
150.61721129504,2.64348946760201,25.353,46.1464614868164,15.1006002426147,1.924880027771,184.2,,,,,,1972,Pakistan
175.198919999176,2.64293253752341,25.084,45.9906387329102,15.09202003479,2.1968400478363,187.2,,,,,,1971,Pakistan
169.124000230778,2.76002653560861,24.817,,,,190.4,,,,,,1970,Pakistan
150.547804055257,2.7278332638243,24.552,,,,194.0,,,,,,1969,Pakistan
143.287946280962,2.69973737137522,24.289,,,,198.0,,,,,,1968,Pakistan
136.638092510909,2.65320120242553,24.028,,,,202.3,,,,,,1967,Pakistan
123.330470854894,2.58539639564733,23.769,,,,207.3,,,,,,1966,Pakistan
114.372018643314,2.51791971765606,23.511,,,,212.8,,,,,,1965,Pakistan
